264	9AAF72	
265	82984E	
266	597629	
267	435815	
268	25531A	
269	112708	
271	ECD6D9	
273	302C24	
274	96A8A4	
275	F1E7AB	
276	D6C4A9	
277	603A11	
278	D0CB55	
279	949F28	
280	7A721C	
281	3D510F	
288	EDD552	
289	EECE3E	
290	F5C304	
291	F5C404	
292	E8DB85	
293	EED861	
295	EBC843	
297	EFB415	
298	ECA40A	
300	F0D477	
301	ECC03E	
302	E89723	
303	E17607	
304	DC5003	
305	E7B332	
306	C17B1E	
307	A75A11	
308	8C400D	
309	682607	
310	4C1807	
311	E0AB63	
313	E29046	
314	DF6019	
316	DB3A0A	
323	DE5835	
324	D4340F	
326	951808	
328	DF6056	
329	DD472D	
330	DD391A	
332	DD2A0C	
333	DC220A	
334	B80317	
335	CB0209	
336	CF8267	
337	B9583D	
338	A8391F	
339	90240F	
340	6D1809	
341	64170A	
342	BBA6C9	
343	7A91A7	
347	BA784C	
349	833015	
351	5D1407	
352	4A0E07	
355	62210D	
357	3F1A0E	
358	482613	
359	33180C	
360	35180C	
361	D8AB64	
362	BC7B34	
363	BA6C23	
365	7B3309	
366	D4AD7C	
367	CC9E66	
368	B87B4D	
369	8D4B23	
370	6A2C10	
371	5E230E	
372	C5A980	
373	B18952	
374	7A4726	
375	634124	
376	AE927E	
378	7F5743	
379	6D4432	
380	2E150C	
381	26100A	
382	140705	
386	F2DE8F	
387	D4BFA4	
388	BEAA8F	
390	C8B79E	
391	B7A28A	
392	8E7C65	
393	594A3E	
397	CCCABE	
398	978F90	
399	868185	
400	4A4D5C	
401	242326	
403	0A0608	
410	015FAE	
433	0C89CB	
681	33451D	
683	062E19	
778	D4B29A	
779	274F5C	
830	B2AA9A	
831	968972	
832	756443	
842	ABAE7E	
843	777C3A	
844	56561E	
845	42471C	
846	1B2508	
847	ACBBB3	
848	849999	
849	859A9A	
850	43656F	
851	42636D	
852	D2C696	
853	949066	
854	867741	
855	887842	
856	56551B	
858	7D8869	
859	65764E	
860	4E613B	
861	325026	
862	213A1F	
868	C38469	
869	9F8F9C	
870	7E6685	
871	412842	
872	3A233D	
873	271121	
874	C6A165	
875	729C7F	
876	487761	
877	356755	
878	1E5035	
879	06432D	
880	D1BBA8	
881	D0B59D	
882	BE836A	
883	8F4830	
884	7E2610	
885	DBCEA6	
886	BBB270	
887	A39753	
888	684D24	
889	48270F	
890	CA984D	
891	C9984D	
892	D5B7AC	
893	CD9794	
894	C27174	
895	BD5560	
896	701D26	
897	4D0811	
898	624B2D	
899	AB9582	
900	A1A294	
901	84400C	
903	715F41	
904	54402E	
905	3A281B	
906	462F18	
907	976F13	
914	8E5948	
920	708C96	
921	3F606E	
922	254551	
923	00360E	
924	34410C	
925	DA2C09	
926	DED2C4	
928	8CB7BA	
933	C8B4A1	
936	40190F	
939	4E6B97	
940	244387	
941	152E6B	
942	DBBA90	
943	AA7640	
944	582B10	
945	988C51	
956	BAB38F	
968	CFA2AA	
969	BF859B	
970	8C2C4D	
972	680731	
975	93B2C3	
976	7C9AB0	
977	3B669C	
978	3A6090	
979	194377	
1001	A63E0B	
1002	C35315	
1003	B04425	
1004	801909	
1005	640314	
1006	7A0319	
1007	754237	
1008	AB7D68	
1009	E6D9BA	
1010	DEC3AA	
1011	E4CDB6	
1012	DAB99E	
1013	92432E	
1014	760F09	
1015	620407	
1016	AC6F84	
1017	A25D72	
1018	733743	
1019	582125	
1020	DAB3B8	
1021	D2999C	
1022	C96F69	
1023	B84643	
1024	AD3328	
1025	96090C	
1026	DDC5C4	
1027	883246	
1028	570625	
1029	4D082E	
1030	4C3F86	
1031	B9CCD4	
1032	A4B8C3	
1033	8199AE	
1034	47657C	
1035	112339	
1036	10233F	
1037	D1D3D5	
1038	779DC1	
1039	36839C	
1040	747976	
1041	232D26	
1042	588D30	
1043	01370F	
1044	023510	
1045	975724	
1046	863C0F	
1047	C77133	
1048	88320F	
1049	722009	
1050	000000	
1060	8FB4AE	
1062	6BA0A0	
1064	4C8E89	
1066	166C61	
1068	07514D	
1070	85BAB6	
1072	54A39A	
1074	2A8F7B	
1076	03685B	
1080	C1A578	
1082	A78F60	
1084	846D45	
1086	432C15	
1088	2D180D	
1089	0672BB	
1090	319AD4	
1092	9FD1CE	
1094	DA5F8A	
1096	90AEC2	
1098	B20818	
4146	D2A08A	
5975	7C200F	
8581	707166	
9046	950414	
9159	87ACCA	
9575	D27D63	
