S01	EAEEF3	White
S146	9D1A38	Bloodrose Red
S147	80B7A1	Spearmint
S148	7A594F	Mocha
S149	EFDBA1	Creme
S150	8884D0	Iris Violet
S151	345621	Forrest Green
S152	AEADDC	Lilac
S153	BCC3E1	Pale Lilac
S154	E3C09A	Sahara Sand
S155	C58B60	Sunkissed Teint
S156	5A5F65	Steel Grey
S157	4C5156	Iron Grey
S158	3A3E42	Pepper
S159	82878B	Oslo Gray
SE1	F1F4FA	Moon
SE2	A2B2D3	Raincloud
SE3	83A6DC	Winter
SE4	70D8ED	Tide
SE5	69E3D5	Aquamarine
SE6	2A63C8	Neptune
SE7	D5AEC9	Rose Quartz
SE8	AF739A	Mauve
SE9	704B6D	Dark Mauve
SE10	D977CD	Wild Berry
SE11	B643AC	Sugar Plum
SE12	DEB181	Desert
SE13	BC9D77	Peanut
SE14	AC7F5D	Toffee
SE15	A37E66	Bark
SG1	C6C0B4	Glow Yellow
SG2	DFABBC	Glow Pink
SG3	6FADC1	Glow Blue
SL1	3687B2	Glitter Blue
SL2	117C52	Glitter Green
SL3	C22933	Glitter Red
SL4	CDBD00	Glitter Yellow
SN1	FF7405	Neon Orange
SN2	01C63E	Neon Green
SN3	F2F33C	Neon Yellow
SN4	FF477A	Neon Rose
SP1	93CA87	Pearlescent Green
SP2	FE7F54	Pearlescent Tangerine
SP3	F0A149	Pearlescent Orange
SP4	DC9EA9	Pearlescent Pink
SP5	D63C53	Pearlescent Red
SP6	2C4E97	Pearlescent Blue
SP7	64427E	Pearlescent Purple
SP8	E0DBCA	Pearlescent White
ST1	C7BCB8	Transparent
ST2	F95498	Transparent Pink
ST3	FF7C45	Transparent Tangering
ST4	DADF3D	Transparent Yellow
ST5	0FAE58	Transparent Green
ST6	8477B3	Transparent Purple
